question_id,question,answer_0,answer_1,answer_2,correct_answer
5489,Как называется влечение к подросткам постпубертатного возраста?,Педофилия,Гебефилия,Эфебофилия,2
5490,Как в японской культуре называется искусство составления благовоний?,кодо,кадо,тядо,0
5492,Каким по счету инертным газом является радон?,Четверый,Второй,Шестой,2
5493,В каком году была основана Компания Google?,1974,1960,1998,2
5494,"Как звали персонажа, который произнес следующие слова: ""Ах, действительно жалко, что никто не придумал руну Трезвости""?",Уильям Эрондэйл,Джонатан Эрлндэйл,Кристофер Эрондэйл,0
5495,Когда закончилась вторая мировая война,9 мая 1945г.,2 сентября 1945г.,8 августа 1945г.,1
5496,"Как зовут отца Гомера , главного персонажа всемирно известного мультфильма ""Симпсоны""?",Милхаус,Монтговери,Абрахам,2
5497,Сколько лет Пизанской башне?,845,907,734,0
5498,Защитником Чего был Корво Аттано в игре Dishonored?,Защитником Императрицы,Защитником Империи,Защитником Короны,2
5502,Какова высота Статуи Свободы?,102 метра,86 метров,93 метра,2
5504,Какая из этих звезд красного цвета?,Вега,Полярная,Антарес,2
5505,Какую звезду НЕЛЬЗЯ в принципе увидеть в средней полосе России?,Полярная,Альфа Центавра,Бетельгейзе,1
5506,На территории какого государства в настоящее время находится бывший город Кёнигсберг?,Германия,Польша,Россия,2
5507,Кто из перечисленных реперов не участвовал в  Версус батлах,Илья Соболев,Эльдар Джарахов,Дмитрий Ларин,0
5511,"Что могут значит эти  три слова Вера, Надежда, Любовь если использовпть их как обращение к кому то?",Имя,Чувства,Эмоции,0
5512,Как называется корейский алфавит?,Хирагана,Ханча,Хангыль,2
5513,Как называют жителей Архангельска?,Архангельцы,Архангелы,Архангелогородцы,2
5514,Какой вид физических упражнений получил название по имени изобретателя?,Котельной,Рок клубу,Стене на Арбате,0
5516,"как на китайском языке будет ""привет""?",zài jiàn!,wǎn’ān!,Nǐ hǎo!,2
5517,Сколько дочерей было у Николая ||?,5,4,3,1
5519,Какой город является столицей Республики Мадагаскар?,Махадзанга,Тулиара,Антананариву,2
5520,"Героя с каким именем можно встретить в мультсериале ""Три кота""?",Шуруп,Винтик,Болт,0
5521,Нравоучение басни – это?,Иносказания,Идея,Мораль,2
5522,Сколько км/ч на спидометре в машине?,220км/ч,200км/ч,120км/ч,0
5524,У какого животного зубы в желудке,Краб,Голубь,Минога,0
5525,Кто был первым президентом РФ?,Владимир Путин,Борис Ельцин,Дмитрий Медведев,1
5530,Какое животное было отправлено первым в космос?,Собака Лайка,Обезьяна,Собаки Белка и Стрелка,0
5531,Как звали доктора который лечил зверей?,Доктор кто,Доктор Ватсон,Айболит,2
5534,"Как называется состояние, вызванное избыточным количеством углекислого газа в крови?",Гипероксия,Гиперкапния,Гиперволемия,1
5535,Сколько было русско-турецких войн за всю историю нашей страны?,11,10,12,2
5536,сколько цветов у радуги?,7,3,5,0
5538,Когда началась Вторая мировая война?,1939,1941,1812,0
5540,Кто самый богатый человек в мире?,Билл Гейтс,Джефф Безос,Уоррен Баффет,1
5541,Годовщину какой свадьбы отмечают в 18 лет совместной жизни?,Розовая свадьба,Бирюзовая свадьба,Агатовая свадьба,1
5542,1. Сколько на Земле материков начинаются на букву «А»?,"5 (Америки Северная и Южная, Африка, Антарктида, Австралия)",7,3,0
5543,"Из какого фильма фраза ""Сыграй ещё раз, Фредди!""?","Сыграй ещё раз, Фредди!",Унесённые ветром,Касабланка,2
5546,Чем в одноименном фильме занимается Форрест Гамп сразу после своей демобилизации?,забегом по США,рекламой ракеток,промыслом креветок,1
5547,Мокшане это народ из какой Республики,Республика Бурятия,Республика Алтай,Республика Мордовия,2
5549,Сколько в Татарстане национальностей,230,199,198,1
5554,Памятник какому животному стоит перед центральным офисом Яндекса в Москве?,Лошади,Сове,Обезьяне,0
5555,В каком году вышла компьютерная игра Grand Theft Auto 5 ?,В 2014 г.,В 2013 г.,В 2011 г.,1
5556,"В каком году была основана социальная сеть ""ВКонтакте""",В 2010г,В 2005г,В 2006г,2
5557,Из каких соединений цветов получается зеленый цвет.,Синий+желтый,Фиолет+желтый,Желтый+коричневый.,0
5558,Сколько вокзалов на Площади трёх вокзалов?,Два,Четыре,Три,1
5559,"Сколько голов , согласно легенде , вырастало у гидры , если отрубить одну из них",2,3,6,1
5560,Как не назывался футбольный клуб ЦСКА?,ОЛЛС,ЦДСА,ЦСК МО,1
5562,Как звали телепузика фиолетового цвета?))))00),Тинки-Винки,Дипси,Искорка,0
5564,Какой из этих городов находится НЕ в России?,Тольятти,Майкоп,Карловы Вары,2
5565,Сколько согласно поговорке ждут обещанного?,Пять минут,Три года,До следующих выборов,1
5566,"Какого ответа НЕ было среди загадок,  которые Голлум загадал Хоббиту?",Кольцо,Время,Рыба,0
5567,Что изображено на гербе испанского рода Прадо?,чёрный олень,только фон,королевская мантия,1
5569,У какого из этих аниме никогда не было ремейка?,Fullmetal Alchemist,Hunter x Hunter,Cardcaptor Sakura,2
5571,"Как называется игра, местом действия которой является сайт Википедии?",Найди Гитлера,Где же Уолли,Отыщи кота,0
5573,Какой клетки нет на шахматной доске?,h8,k6,g5,1
5575,Кто была матерью Ромула и Ремула?,Женщина,Волчица,Постушка,1
5578,где находиться родина деда мороза,Архангельск,Великий Устюг,Морозовиа,1
5579,"Какую категорию людей принимают в члены организации ""Менса""?",матерей-героинь,"людей, переживших клиническую смерть",людей с высоким интеллектом,2
5580,Какой из этих газов является инертным?,Криптон,Астат,Селен,0
5581,У какого айфона появился впервые появился Touch ID?,iPhone 5,iPhone 5c,iPhone 5s,2
5582,"Почему, когда я ответила правильно на шесть вопросов мне не зачислили клеверсы и писали, что случилась ошибка, хотя у меня хорошо работал интернет и я не играли с двух и более устройств. Пожалуйстала верните мне эти клеверсы.",Я не знаю что здесь писать,Я не знаю что здесь писать,Я не знаю что здесь писать,0
5583,Худший ведущий по мнению участников игры,Дмитрий Дюжев,Илья Соболев,Антон Хворостухин,1
5584,В каком году вышел  первый фильм про человека паука?,2002,2004,2003,0
5585,Чья сборная выиграла первый чемпионат Европы по футболу?,СССР,Франция,Югославия,0
5586,"Почему не высвечивается ни вопросы ни комментарии. Уже какой день захожу и все просто так, чтоб послушать ведущего. Играть как бы хочется",А,П,А,0
5588,"Кто написал произведение ""Мцыры""",Гоголь,Достоевский,Лермонтов,0
5589,Что роняет репер Фейс,Свой мозг,Запад,Свою жизнь,1
5590,Во сколько лет погиб А. С. Пушкин,27,30,37,0
5591,Какую сборную заменила сборная Даний по футболу 1992 году и выиграла кубок УЕФА?,Румынию,Словению,Югославию,2
5593,Эпохой реформации был назван период правления....,Александра 1,Петра 1,Александра 2,2
5595,что тяжелее: килограмм ваты или килограмм железа,килограмм железа больше,одинаково,килограмм ваты больше,1
5596,"Какой был самый первый альбом у группы ""Кино""?",Черный альбом,Это не любовь...,45,2
5598,"Почему Иван IV имел титул ""грозный""?",Он не любил людей из других стран,Он повышал налог,Он был жестким и убил своего сына,2
5599,Кто стал лауреатом Нобелевской премии по литературе в 1958 году?,Борис Леонидович Пастернак,Иван Алексеевич Бунин,Александр Исаевич Солженицын,0
5600,Сколько всего царей было в России?,18,17,15,1
5602,"Кто из этих музыкантов является рекордсменом по общему числу полученных наград ""Grammy Awards""?",Рэй Чарльз,Георг Шолти,Стиви Уандер,1
5604,В каком году затонул «Титаник»?,В 1935 году.,В 1912 году.,В 1916 году.,1
5606,"В каком из этих фильмов не снималась актриса, взявшая псевдоним в честь жены английского короля?",Аббатство Даунтон,"Доктор Куин, женщина-врач",Как я встретил вашу маму,0
5607,В честь какой жены Генриха Восьмого взяла псевдоним Джойс Пенелопа Вильгельмина Франкенберг?,Энн Хэтэуэй,Джейн Сеймур,Кэтрин Ховард,1
5608,"Какая страна, после России, самая большая?",США,Китай,Канада,2
5609,В какой стране придуман салат ''Цезарь''?,Мексика,Италия,США,0
5611,Кто был первым президентом России РСФСР,Путин,Горбачов,Ельцин,1
5612,Сколько дней длилась Сталинградская битва?,250,200,300,1
5615,В каком году основалась одна из популярных компаний «Rockstar Games »?,Ноябрь 1978 г.,Декабрь 1998 г.,Март 2003 г.,1
5616,каком году был основан гугл,18 декабря 1989,23 мая 1990,4 сентября 1998г,2
5620,"Как звали главных героинь мультфильма Хаяо Миядзаки - ""Мой сосед Тоторо""?",Тихиро и Яцуки,Сацуки и Мэй,Акита и Мононоке,1
5621,Сколько киллометров от Кунгура до Ростова-На-Дону?,2123 километра,2086 километров,2170 километров,0
5622,В каком ряду все слова пишутся слитно?,"(до)черна, (не)лепо","(в)троем, (с)разбегу","(по)казацки, (на)скоро",1
5623,Кто создал фирму adidas,Гуччо Гуччи,Адольф Дасслер,Steve Jobs,0
5625,Сколько лет было  Моргану Фримену в 1971году?,17,34,26,1
5626,Против кого Тина Канделаки должна была выступать на Versus`е?,Гнойный,Млечный,Oxxxymiron,2
5627,Сколько костей в кисти человека?,25,27,30,0
5628,Какой из дворянских титулов Европы выше?,Граф,Барон,Герцог,2
5629,Какой из этих городов является столицей Лесото?,Масеру,Лобиту,Кано,0
5633,Какое море самое солёное?,Баренцево,Мёртвое,Чёрное,1
5636,"Самый популярный минерал, который чаще остальных используется человеком",Соль,Кварц,Сахар,0
5637,Какой из  этих рэперов НЕ поменял свой псевдоним?,Lil Pump,Lil Skies,Lil Xan,1
5638,За какой фильм Леонардо Ди Каприо получил Оскар?,Титаник,Волк с Уолл-стрит,Выживший,2
5639,Когда появился интернет,1957,1954,1969,2
5641,Пригласите Антона Шастуна вести «Клевер»),Мы подумаем,"Да, пригласим","Нет, не пригласим",1
5642,как зовут первого покемона который достался Эшу в Аниме Покемон,Сквиртл,Пикачу,Бульбазавр,1
5643,В какой город прилетела сборная Египта тренироваться на чемпионат мира по футболу 2018?,Казань,Санкт-Петербург,Грозный,2
5644,В каком городе НЕ будет проводиться чемпионат мира по футболу 2018?,Волгоград,Москва,Красноярск,2
5646,"Какое название сейчас имеет город, называвшийся раньше ""Кёнигсберг""?",Красноярск,Калининград,Калуга,1
5647,"В каком году впервые был экранизирован роман Оскара Уайльда ""Портрет Дориана Грея""?",1951,1961,1915,2
5648,Как называют среди болельшиков футбольный клуб Арсенал ?,Аристократы,Медузы,Пушкари,2
5650,Как называется историческая крепость в Азербайджане ?,Гыз-Сандык,Гыз-Галасы,Гыз-Гапы,1
5651,Как вывести деньги с Клевера для нерезидентов РФ?,На телефон,Никак,На банковскую карточку,1
5652,Парамяча какое блюдо нацианальное,Индийского,Еврейского,татарского,2
5654,О каком цехе речь идёт в альбоме Жесть,Колбасном,Стекольном,Горячем,0
5655,Пение под  аккомпанемент,Караоке,Вокализэ,Соло,0
5656,Что делала красавица в одноимённой сказке?,Спала,Бодрствовала,Пела в караоке,0
5657,"Как же зовут главного героя аниме, чья главная цель стать проффесионалом настольной и политической игры в Go",Хикацуми,Игараши,Хикару,2
5658,какое брюхо было у мухи-цокотухи,серебряное,золотое,позолоченное,2
5662,На что необходимо обратить после зарядки?,На растяжку,На пульс,На мыщцы,1
5663,Поверхность какого спортивного снаряда должна быть гладкой и неокрашенной?,Перекладина,Штанга,Шайба,0
5664,Кто самый богатый рэпер в России?,Тимати,Макс Корж,Oxximiron,0
5665,"Следуя скандинавской мифологии, кем Хель приходилась Локи",Дочерью,Сестрой,Матерью,0
5667,"На что похож один из 4-х лепестков клевера, в который вы так любите играть?",Печень,Печенье,Сердечко,2
5671,"Кто является кинорежиссером фильма ""Лёд""",Владимир Наумов,Александр Алов,Олег Трофим,2
5674,"Российский мультфильм, удостоенный «Оскара», — это…",Простоквашино,Старик и море,Винни-Пух,1
5675,Самое большое домашнее копытное животное ?,Овца,Корова,Олень,1
5676,В какой стране находится город Могилёв,Белоруссия,Россия,Украина,0
5678,В каком году была создана группа Gorillaz ?,2005 г.,1989 г.,1998 г.,2
5679,"В ходе какой операции времен Второй Мировой войны японцы убили 103 американских солдат, не имея ни одного воина в гарнизоне?","Операция ""Западня""","Операция ""Коттедж""",Алеутская операция,1
5681,"Следуя славянской мифологии, кто такой Перун",Дух леса,Бог молний,Бог огня,1
5682,"Какое имя носит Планктон из мультсериала ""Губка Боб""?",Кевин,Шелдон,Мартин,1
5684,Какой город России НЕ принимает Чемпионат Мира по футболу 2018?,Саранск,Нижний Новгород,Краснодар,2
5686,Сколько в майнкрафте жизней?,8,3,6,2
5688,Сколько лучших фильмов снял Квентин Тарантино по своим собственным сценариям?,9,10,8,2
5689,Что такое калланетика?,Раздел физики,Гимнастические упражнения,Способ связи,1
5690,Про какой цвет поётся в песне Филлипа Киркорова?,Синий,Серо-буро-малиновый,Голубой,0
5691,"Что за титул носил правитель страны из сказки ""Приключения Чиполлино""?",Граф,Принц,Король,1
5693,"Кто в книге ""Винни-Пух и все-все-все"" стрелял в Пуха из ружья?",Кристофер Робин,Кролик,Пятачок,0
5695,Какая страна является родиной широко известного салата «Цезарь»?,Мексика,Египет,Италия,0
5696,Кто открыл планету Уран?,Урбен Леверье,Эдмун Галлей,Уильям Гершель,2
5699,Выполнение каких обязанностей предполагает должность осия в японском метро?,Мыть поручни эскалатора,Заталкивать пассажиров в вагоны,Проверять багаж,1
5703,"Какой книги не было в цикле фэнтези Кассандры Клэр ""Орудия Смерти""?","""Город потерянных душ""","""Город восставших демонов""","""Город падших ангелов""",1
5706,Какое свойство придают костям образующие их органические вещества?,Твёрдость,Эластичность,Пористость,1
5707,"Как звали кота в романе М.Булгакова ""Мастер и Маргарита""?",Берлиоз,Бегемот,Буцефал,1
5708,"Как звали обезьяну главного героя в мультфильме ""Аладдин""?",Яго,Абу,Джафар,1
5709,"Сколько котят было в мультфильме ""Коты Аристократы""?",3,5,4,0
5711,Максимальный набор очков одного из игроков в настольном теннисе составляет?,11,21,25,1
5712,Минимальная высота подброса мячика в настольном теннисе?,1 метр,9 сантиметров,16 сантиметров,2
5713,Сколько пальцев у человека,10,15,20,2
5714,Стикеры с каким животным бесплатно дарит Сбербанк?,Собакой,Мышью,Котом,2
5715,Что говорит человек-паук в Войне Бесконечности перед тем как умереть?,I'm sorry,Mr Stark,I don't feel so good,0
5716,Куда едет такси в песне Эльвиры Т?,туда,обратно,туда и обратно,2
5717,Мир каких мужчин открывает Ольга Бузова в своей песне?,других,твоих,первых,0
5718,"Последний футболист из Великобритании, получивший ""Золотой мяч""",Дэвид Бекхэм,Криштиану Роналду,Майкл Оуэн,2
5720,Для чего пчеле на задних лапках корзиночки?,в них пчелы переносят пыльцу,для сбора меда,для выноса мусора из улья,0
5722,"Что олицетворяет древний славянский праздник - Масленица, берущий своё начало ещё с языческих времён?",Пост на Руси,Поедание блинов.,Окончание зимы.,2
5723,"Кто из перечисленных персонажей Не относится к мультфильму ""Хранители снов""?",Ледяной Джек,Зубная кроха,Беззубик,2
5724,Что такое Casus Belli?,Марка итальянской обуви,Один из самых богатых людей Древнего Рима,Формальный повод для войны,2
5725,Что делала Екатерина 2 с лошадьми,Жрала,Убивала,Трахала,2
5726,Где  появился танк т-34,Германия,Россия,Япония,0
5729,"Флаг какого государства, называют ""матерью всех флагов""?",Индонезия,Норвегия,Франция,1
5730,"Как зовут первого русского, который играл в НХЛ?",Валерий Харламов,Александр Овечкин,Валерий Нечаев,2
5731,Как зовут сестренку-кошечку в мультфильме Три Кота,Кнопочка,Конфетка,Карамелька,2
5732,"Кто написал картину ""Тайная вечерия""",Рафаэль Санти,Винстер Ван Гог,Леонардо да Винчи,2
5733,В каком году умер Султан Сулейман?,1580,1566,1570,1
5734,Как зовут самого младшего участника корейской группы BTS?,Чонгук,Сехун,Хосок,0
5735,Кто отменил Крепостное Право в России?,Екатерина |,Александр ||,Петр |,1
5736,"Почему говядина, а не коровятина?","слово произожло от древнерусского ""Говяда"" что означает ккрупно рогатый скот.","слово произошло от древнекиевского ""Говядо"" что в переводе озночает крупно рогатый скот.","слово  произошло от имени Индийского божества ""Говяда Кришна""",0
5737,Сколька лет Владимиру Владимироичю  Путину,69,50,62,2
5738,"Сколько секунд, по правилам ,вратарю по футболу можно держать мяч в руках во время игры?",7,6,5,1
5739,К какому празднику готовяться в яяяПариже1-к прзднику двойняшек 2-к  празднику всех рыжеволосых 3- к празднику боролы и усов,Праздник всех рыжеволосых,Праздник двойняшек,Праздник бороды и усов,2
5740,Как звали отца великана Гаргантюа из романа Рабле?,Барталембуль,Грангузье,Гаргамель,1
5741,"Чем прославился Джон Монтегю, граф Сэндвич?",Открытием Сэндвичевых островов.,Основанием города Сэндвич.,Изобретением сэндвича.,2
5742,"Сколько лет, согласно Библии, прожил старейший из людей, Мафусаил?",999,959,969,2
5743,Как звали председателя Тройки по Рационализации и Утилизации в повести Стругацких?,Амвросий Амбруазович,Лавр Федотович,Модест Матвеевич,1
5745,К о первыйм из русских выиграл кубок стенд,Овечкин,Малкин,Лаврентев,2
5746,"Кого в фильме ""Двенадцать стульев"" сыграл режиссер Леонид Гайдай?",Брунса,Коробейникова,Воробьянинова,1
5748,Как раньше называлось африканское королевство Эсватини?,Судан,Берег Слоновой Кости,Свазиленд,2
5749,Кто был преемником Сталина на посту председателя Совета Министров СССР?,Маленков,Булганин,Хрущев,0
5750,"В каком году началась Вторая Мировая война? 
1918
1941
1939",1939,1941,1918,0
5752,При помощи чего можно играть на АНСе?,Ударная волна,Изображение,Гипноз,1
5753,"Кто автор произведения ""Гамлет Щигровского уезда""?",В. В. Набоков,И. С. Тургенев,М. А. Булгаков,1
5754,Когда выпустили гта 5,2015,2015,2015,0
5755,Кто был первым чемпионом мира по шахматам,Александр Алехин,Роберт Фишер,Вильгельм Стейниц,2
5758,Сколько императоров было в Японии,125,123,110,0
5759,Как назывался первый комикс Человека паука в 1961-1962 году?,Ultimate Человек-Паук,Удивительная фантазия,Удивительный Человек-паук,1
5760,Урд- это растение какого семейства?,паслёновые,крестоцветные,Мотыльковые,2
5761,Какой город не является столицей одной из прибалтийских стран?,Тарту,Рига,Таллин,0
5762,Каким по счёту президентом США был Теодор Рузвельт?,20-ый,27-ой,26-ой,2
5764,"мне не пришли деньги с клевера, обман все ясно.",нас  нае... обманули,так должно быть,ошибочка вышла,0
5765,Какая битва описана в третьем томе 'Вона и мир'？,Аустерлицкое сражение,Битва при Ватерлоо,Бородинское сражение,2
5766,С какого года отмечается День России?,1990,2002,1992,2
5768,Как звали последнюю жену Владимира Высоцкого?,Людмила,Марина,Изольда,1
5769,Кто был 36 призедентом США ?,Джеймс Мэдисон,Линдон Бейнс Джонсон,Джералд Рудольф Форд,1
5770,Когда умер Уильям Гейтс,15 апреля 2002 года,26 октября 2010 года,Он не умер,2
5771,Кого из этих актеров киновселенной Marvel мы знаем как Тора?,Марк Руффало,Крис Хемсворт,Пол Радд,1
5772,Какого звука нет в японском языке?,Р,Д,Л,2
5773,"Страна, производящая наибольшее количество фильмов в год",Индия,США,Нигерия,0
5777,Каким сочетанием клавиш нельзя скопировать данные?,Shift+Insert,Ctrl+C,Ctrl+Insert,0
5778,Какое из этих небесных тел спутник планеты?,Церера,Ганимед,Хаумеа,1
5780,"С кем(в марте 2007 года) у компании IKEA произошел конфликт, причиной которого стала надпись на плакате о правилах пользования парковкой и подъездными путями?",Общество по защите прав животных,Цыгане,Инвалиды,1
5781,Что называют тихой охотой?,Собирание грибов,Охоту на мелкую дичь,Собирание ягод,0
5783,Назовите первый в мире сверхзвуковой пассажирский самолёт,Concorde,ТУ-144,ТУ-160,1
5784,Что вам поможет выжить в лесу?,Стул,Компас,Кровать,1
5785,"Как называется браслет, сплетенный из нмулине на круглом станке?",Кумихимо,Шимбала,Дерганец,0
5786,Сравни выражения: 9+6 ... 8+8,9+6=8+8,9+6>8+8,9+6<8+8,2
5787,Сколько пальцев у кота на задней лапке?,Четыре,Три,Пять,0
5788,Как раньше называлась столица Норвегии- Осло,Тирания,Квэбек,Христиания,2
5789,Как называется Чукотского автономного округа?,Магадан,Анадырь,Владивосток,1
5790,Какой праздник отмечается 12 июня?,День защиты детей,День Государственного флага,День России,2
5791,Сколько раз сборная Бразилии становилась Чемпионом Мира по футболу?,3,4,5,2
5792,Как называется столица России?,Москва,Нижний Новгород,Санкт-Петербург,0
5793,В каком году была Олимпиада 2018?,2019,2018,2017,1
5794,Что изучает Уфология?,История,НЛО,Мифология,1
5795,У какого их этих верблюдов два горба?,Бактриан,Дромедар,Арвана,0
5796,Какого цвета камень чароит?,Зеленый,Фиолетовый,Голубой,1
5797,Кто из этих актеров НЕ говорил по-китайски в фильмах с их участием?,Брэдли Купер («Области тьмы»),Скарлетт Йоханссон («Люси»),Джон Сина («Девушка без комплексов»),1
5798,Как называется самый большой по вместимости стадион мира?,Стадион 1 Мая в Пхеньяне,Мичиган Стэдиум,Сантьяго Бернабеу,0
5799,Как называется комнатный цветок?,Коммунист,Октябрист,Декабрист,2
5800,Сколько пальцев на руках у смурфиков?,3,5,4,2
5801,"В какой стране находится штаб-квартира одной из крупнейших в мире торговых сетей по продаже мебели и товаров для дома ""IKEA International Group""?",Швейцария,Швеция,Голандия,2
5802,"Когда в России в царской семье появлялся новорожденный,  сколько пушечных выстрелов производилось?",51,101,31,2
5803,Какая скорость у света?,300 000 метров в минуту,3 000 000 метров в минуту,5 000 000 метров в минуту,2
5804,"От чего в 1890 году законодательно отказалась Юта, чтобы стать полноправным штатом США?",Рабовладение,Многожёнство,Употребление алкоголя,1
5805,Какая Фамилия была у главного героя мультфильма Фиксики - ДимДимыча?,Кудыкин,Курлыков,Курдышев,0
5806,Сколько желудочков в головном мозге человека.,4,2,3,0
5807,В какую из этих игр не играют клюшкой,Бильярд,Гольф,Хоккей,0
5808,В каком году Америка была официально признана независимой?,В 1913 году,1900,1898,0
5809,Как называется талисман хоккейного клуба СКА,Сибирский снеговик,Конь-огонь,Снежный барс,1
5810,Как называется хранилище картин?,Библиотека,Картинотека,Пинакотека,2
5811,Без какого продукта нельзя приготовить азербайджанское национальное блюдо  - долму?,Виноградные листья,Капуста,Рис,0
5812,Ежесуточно Земля прибавляет в весе 400 тонн. Из-за чего?,Из-за отходов.,Из-за космической пыли.,Из-за рождаемости детей,1
5815,Что человек делает перед тем как прочитать текст,Смеётся,Вздыхает,Чихает,1
5818,Кто такой Амадей Моцарт?,Композитор,Художник,Оперный певец,0
5819,Самоназвание армянского народа.,Yani,Arameni,Hayer,2
5824,Какую из этих песен НЕ исполняла группа Газировка?,"""Малиновый чай""","""Потрачу""","""Black bacardy""",1
5826,Какой месяц поется в песне Тополиный пух жара ... ?,Июль,Апрель,Июнь,0
5829,В каком году основана самая известная лига по хоккею NHL,1924,1921,1917,2
5831,В каком году началась Вторая Мировая Война ?,1940,1939,1941,1
5832,Какое окончание этой фразы верно «London is the capital of…»?,USA,Great Britain,Ireland,1
5834,Признак равенства  прямоугольных треугольников,По двум гиппотинузам,По 2-м углам,По гиппотенузе и катету,2
5835,Сколько очков зарабатывает команда за один тачдаун в регби?,10,6,3,1
5837,Какого роста были Смурфики?,2 (два) яблока,1 (одно) яблоко,3 (три) яблока,2
5840,Какое место в мире по велечине занимало до начала обмеления Аральское море?,3,4,5,1
5841,Кто руководит Национальным Филармоническим Оркестром России с 2003 года?,Валерий Гергиев,Владимир Спиваков,Юрий Башмет,1
5842,Кто из этих известных актеров НЕ варит собственное пиво?,Дженсен Эклс,Клинт Иствуд,Майкл Дуглас,2
5843,Какая из этих гор НЕ входит в пятёрку самых высоких гор мира?,Макалу,Чогори,Манаслу,2
5844,Какое произведение НЕ принадлежит Сергею Довлатову?,Ищу человека,Я гений пламенных речей,Ремесло,1
5845,Пианиссимо это 1-пьяный 2- вялый 3 -тохое заучание,Пьяный,Вялый,Тихое звучание,2
5846,"В какой стране, помимо России, существует выражение: "" Помирать, так с музыкой!""",Австрия,Германия,Испания,0
5847,В каком году впервые отметили «День России»?,1995,1962,1992,2
5848,В какой момент времени мы живём согласно теории относительности А. Эйнштейна?,В прошлои,В будущем,В настоящем,0
5849,Где впервые были приручены предки современных куриц?,Америка,Азия,Европа,1
5850,Сколько может поднять веса муха,Четверть спички и муравей,Карт ка от тиктатака,Канфета,0
5852,"Думаю было бы интересно, для внимателных игроков,один раз за игру задавать один ретро вопрос,т е который уже был в предыдущих играх",Да?,Нет,?,0
5853,"Кто автор песни ""Выйду ночью в поле с конем""?",Евгений Евтушенко,Это народная песня,Александр Шульгин,2
5854,"Дебютный альбом какой группы называется ""Дом на колесах. Часть 1""?",На-на,Грибы,Градусы,1
5855,"Кто режиссер фильма ""Джентльмены удачи""?",Эльдар Рязанов,Георгий Данелия,Александр Серый,2
5856,"Какого цвета бортовой самописец, известный как ""черный ящик""?",Черного,Зеленого,Оранжевого,2
5859,Кто сыграл главную роль в сериале Молодой Папа?,Джонни Депп,Джуд Лоу,Хоакин Феникс,1
5860,Кто провел самую первую игру Что? Где? Когда?,Александр Масляков,Александр Друзь,Владимир Ворошилов,0
5861,Что согласно известной песне Земфиры хотела сделать Анечка?,Сломать пальчики,Закрутить гаечки,Снять маечки,2
5862,"Как называется сериал, который прославил Памелу Андерсон?",Бедная Настя,Спасатели Малибу,Ментовские войны,1
5863,Каким счётом закончилась встреча на  чемпианате мира по футболу 1998 года Аргентины и Ямайки. Счёт потом был описан а одноимённой песне.,2:0,5:1,5:0,2
5865,Особо сильный главарь уровня в компьютерной игре,Босс,Маклер,Начальник гоблинов,0
5867,Каким словом Василий  Кандинский назвал  несколько своих работ,Абстакция,Компоцизия,Констукция,1
5868,В каком году была открыта Америка?,12 октября 1492 года,6 сентября 1471 года,18 февраля 1498 года,0
5869,"Какой футболист сделал покер за Арсенал , против футбольного клуба Ливерпуль?",Федор Смолов,Озил,Аршавин,2
5870,Сколько лет Oxxxymiromy,35,33,30,1
5871,Кто забил победный гол в Чемпионате Мира по Футболу?,Санчес,Роналду,Нани,0
5872,"Вы серьезно? Нахера я коплю эти гребаные клеверсы, если после каждого обновления бонусы все дороже и дороже, и мне тупо на них не хватает?!",Ты идиот,Мы считаем тебя идиотом,"Мы не виноваты, оно само",0
5873,"В каком году 21го века происходит действие фильма ""Гостья из будущего""?",2084,2050,2018,0
5874,Какой самый большой орган человека,Лёгкие,Кожа,Сердце,1
5878,В каком городе спрятались мужское имя и сторона света,Владивосток,Калининград,Владимир,0
5879,На каком языке говорят молча,Язык глазами,Язык Ялмез,Язык жестов,2
5880,Какой водопад в мире является самым высоким?,Анхель,Ниагарский водопад,Виктория,0
5881,Почему стикеры подорожали ?,Х,Х,Почему они стоят теперь больше,2
5883,Какой длинны была палочка Гарри Поттера?,12 дюймов,10 дюймоа,11 дюймов,2
5884,Когда произошла Великая Октябрьская революция?,17 октября 1905 года,23 февраля 1917 года,25 октября 1917 года,2
5885,Кто из этих людей НЕ является выпускником Московского государственного университета?,Андрей Малахов,Григорий Маргулис,Алексей Венедиктов,2
5886,В названии какого из пальцев руки японцы используют иероглиф «Лекарство»?,Безымянный,Большой,Мизинец,0
